station,location_est,location_lower,location_upper,location_se,scale_est,scale_lower,scale_upper,scale_se,shape_est,shape_lower,shape_upper,shape_se,nllh,method
USC00200718,439.476405957614,406.5063757275472,472.44643618768083,16.82175309859273,128.41220088313997,102.98864605812106,153.8357557081589,12.971439794586368,0.16296108107193596,-8.359942167177892e-4,0.3267581563605897,0.08357147201717187,470.04693200528527,ismev_car_delta
USC00201468,403.8601688859967,373.96958297110194,433.75075480089146,15.25057916914183,114.81979822381018,92.5648526019805,137.07474384563986,11.354772739383911,0.054533958851346126,-0.12512275665840655,0.2341906743610988,0.09166327387996002,463.8103568717843,ismev_car_delta
USC00201492,420.8726123320756,387.49206570220286,454.2531589619484,17.031204090061976,132.21124706778843,108.50484496891578,155.91764916666108,12.095325366111693,-0.0463881798406516,-0.18842018841932542,0.09564382873802221,0.07246664209087729,475.93494920887184,ismev_car_delta
USC00203391,448.5264539038217,413.96469019890026,483.0882176087431,17.633876937300993,133.37245525952721,107.03073598468696,159.71417453436746,13.439899652555038,0.11704130079877564,-0.06779158847555086,0.3018741900731021,0.09430422739002595,483.91696946842916,ismev_car_delta
USC00204090,423.88324336103807,392.1905087367401,455.575977985336,16.17005969205874,125.60137033213358,98.30359748354677,152.89914318072042,13.927691051421442,0.36204314686843153,0.19655566566087648,0.5275306280759866,0.08443393986466038,489.60846914470324,ismev_car_delta
USC00204502,447.4421693919063,411.4092451551199,483.4750936286927,18.384482837954955,142.42001616528447,115.58868836973603,169.2513439608329,13.689704508445324,0.10251147871803948,-0.0476753678934366,0.2526983253295155,0.07662735019425398,487.6887371239326,ismev_car_delta
USC00205065,460.2552154222192,422.7389692005073,497.77146164393105,19.14129367561609,147.2659496040076,118.75290637315113,175.77899283486406,14.547738354257383,0.1391397792457333,-0.022975242154381792,0.3012548006458484,0.08271326548796701,491.8701662907693,ismev_car_delta
USC00207812,431.6227725000756,394.6810511992026,468.5644938009486,18.848163329665542,133.2316058595067,103.15193032453598,163.3112813944774,15.347055237869348,0.20435104377240365,-0.05263268766321,0.4613347752080173,0.13111655798916133,480.9444417594017,ismev_car_delta
USC00208417,394.25531158556396,366.26361230533064,422.2470108657973,14.281741654963204,109.72216233159942,89.17476050991023,130.26956415328863,10.483560914263977,0.04543155468530139,-0.11770422940169067,0.20856733877229344,0.08323407234713819,466.40185310197427,ismev_car_delta
USC00210287,497.1580465722204,455.98808166844424,538.3280114759966,21.005470115022327,166.0168410593663,136.37847933698168,195.65520278175092,15.121890991961205,0.0980771571253555,-0.008824927263307358,0.20497924151401836,0.05454288202839077,491.09737512999095,ismev_car_delta
USC00211691,499.802397341086,461.87681598738305,537.7279786947889,19.35014196834998,144.1077435492386,114.37621411481743,173.83927298365975,15.169426412393126,0.15822060490743195,-0.04675776596160877,0.36319897577647264,0.10458272319587708,491.3929564009457,ismev_car_delta
USC00213303,483.6541378994981,441.34082342193807,525.9674523770582,21.58882245353592,160.64861736656803,128.15258251407658,193.14465221905948,16.57991427843371,0.10647048746112209,-0.10004106553334569,0.31298204045558986,0.1053649733481863,497.44979023980477,ismev_car_delta
USC00214652,463.9399533824234,422.1758895857869,505.70401717906,21.308587364903726,161.00196732455348,129.00507287234566,192.9988617767613,16.325246129314237,0.12110486342690027,-0.06263067214629506,0.30484039900009563,0.09374434276470274,497.86858993304037,ismev_car_delta
USC00216565,522.9172300322422,475.10416416184,570.7302959026443,24.39486962390409,187.9868417804372,153.33773759685275,222.63594596402166,17.678439224849118,0.01399853704075801,-0.14469075635081402,0.17268783043233005,0.08096541295824464,504.887465473891,ismev_car_delta
USC00221707,728.1511469954555,664.9573610148605,791.3449329760506,32.242320001316145,225.72351021711586,175.95028556204247,275.4967348721893,25.394969013552423,0.12053527126001262,-0.13239455683595686,0.3734650993559821,0.1290482019522031,501.9559830616154,ismev_car_delta
USC00224966,978.0184278812819,889.7753000202076,1066.2615557423562,45.022831315842986,342.25819035335616,277.3509593390699,407.1654213676424,33.116542715206116,0.04774272279146824,-0.12186750777257233,0.2173529533555088,0.08653742206586676,543.2731813730197,ismev_car_delta
USC00240780,312.02344408291765,282.58588795143316,341.46100021440213,15.019437277258255,114.23657140244865,92.37112576368293,136.10201704121437,11.156044606552763,0.06579602361271142,-0.10740389125728944,0.23899593848271228,0.08836892730487894,470.1097730826944,ismev_car_delta
USC00240802,289.8382855013875,260.6230998021929,319.05347120058207,14.905980890281791,110.70382719625087,86.51116805505687,134.89648633744486,12.343420252628423,0.27076399897424464,0.06150877942742225,0.480019218521067,0.1067648289445117,476.22535963483034,ismev_car_delta
USC00241044,265.9653754445643,244.7975864954822,287.1331643936464,10.800090775162671,79.32584112857052,63.11799133128739,95.53369092585365,8.269463074387376,0.07793524899890017,-0.13960071830860613,0.2954712163064065,0.11098977788541133,444.0055047176803,ismev_car_delta
USC00242122,320.5256617575376,291.87101929731796,349.1803042177572,14.619984186568624,111.12718033445337,89.63675945815568,132.61760121075105,10.964701926061597,0.09014568349228566,-0.07740061671623624,0.2576919837008076,0.08548437702432585,462.6939659918727,ismev_car_delta
USC00242793,222.8494161598243,206.4797752767553,239.2190570428933,8.352011063565776,63.859228379526144,51.58374795180517,76.13470880724711,6.263115304438447,0.09606377371362915,-0.07300040148286419,0.2651279489101225,0.08625881726911822,428.37924592179644,ismev_car_delta
USC00243013,272.343058095513,246.7608642260264,297.92525196499963,13.052379569867458,95.86741877467352,74.87769961908478,116.85713793026227,10.709237170250566,0.24944613917060726,0.03192910708655097,0.4669631712546636,0.11098011687959725,458.60689660095824,ismev_car_delta
