STATION,Year,LATITUDE,LONGITUDE,ELEVATION,PRCP,SNOW,SNWD,TMAX,TMIN
USC00112140,2012,40.1391,-87.6479,169.2,475.0,51.0,51.0,394.0,272.0
USC00112140,2013,40.1391,-87.6479,169.2,630.0,127.0,203.0,356.0,239.0
USC00112140,2014,40.1391,-87.6479,169.2,432.0,203.0,279.0,333.0,233.0
USC00112140,2015,40.1391,-87.6479,169.2,1585.0,203.0,203.0,339.0,233.0
USC00112140,2016,40.1391,-87.6479,169.2,566.0,81.0,76.0,328.0,261.0
USC00112140,2017,40.1391,-87.6479,169.2,648.0,43.0,51.0,344.0,256.0
USC00112140,2019,40.1391,-87.6479,169.2,686.0,91.0,102.0,344.0,250.0
USC00112140,2020,40.1391,-87.6479,169.2,681.0,51.0,76.0,339.0,222.0
USC00112140,2021,40.1391,-87.6479,169.2,864.0,140.0,279.0,344.0,228.0
USC00112140,2022,40.1391,-87.6479,169.2,508.0,102.0,152.0,361.0,239.0
USC00112140,2023,40.1391,-87.6479,169.2,495.0,51.0,25.0,350.0,244.0
USC00112140,2024,40.1391,-87.6479,169.2,1039.0,94.0,102.0,344.0,239.0
USC00114198,1951,40.4664,-87.6851,216.4,706.0,203.0,203.0,350.0,239.0
USC00114198,1952,40.4664,-87.6851,216.4,881.0,102.0,203.0,378.0,250.0
USC00114198,1953,40.4664,-87.6851,216.4,450.0,89.0,102.0,389.0,239.0
USC00114198,1954,40.4664,-87.6851,216.4,478.0,114.0,102.0,422.0,250.0
USC00114198,1955,40.4664,-87.6851,216.4,615.0,102.0,102.0,372.0,244.0
USC00114198,1956,40.4664,-87.6851,216.4,500.0,140.0,127.0,367.0,233.0
USC00114198,1957,40.4664,-87.6851,216.4,658.0,127.0,127.0,344.0,233.0
USC00114198,1958,40.4664,-87.6851,216.4,518.0,86.0,76.0,350.0,228.0
USC00114198,1959,40.4664,-87.6851,216.4,427.0,127.0,127.0,372.0,256.0
USC00114198,1960,40.4664,-87.6851,216.4,500.0,147.0,229.0,372.0,233.0
USC00114198,1961,40.4664,-87.6851,216.4,513.0,178.0,178.0,350.0,233.0
USC00114198,1962,40.4664,-87.6851,216.4,572.0,66.0,127.0,356.0,222.0
USC00114198,1963,40.4664,-87.6851,216.4,457.0,147.0,203.0,356.0,233.0
USC00114198,1964,40.4664,-87.6851,216.4,726.0,89.0,102.0,356.0,244.0
